script_path,purpose,inputs,outputs,consuming_artifact,schedule,last_run_proxy,last_modified,runtime_estimate,dependencies,failure_mode,notes
pipelines/etl/scripts/analyze_breakaway_signal.py,Stickiness + signal analysis for breakaway runs and receptions.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,,,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/audit_contract_consistency.py,Audit internal consistency of every rostered player's contractInfo for a given season.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-18,2026-04-18,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/backfill_mym_submissions_from_dashboard.py,Backfill mym_submissions.json from MYM statuses in mym_dashboard.json.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),"deprecated=True, One-off maintenance"
pipelines/etl/scripts/backfill_pass_sacks.py,"Targeted backfill of pass_sacks, pass_sack_yds, def_fr, def_tackles_total.",D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-26,2026-04-26,large,See source imports,Unknown (check site for stale data),"deprecated=True, One-off maintenance"
pipelines/etl/scripts/backfill_playoff_weeks_allteams.py,Backfill missing bye-week franchise rows in weeklyresults + weeklyresults_summary.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-21,2026-04-21,medium,See source imports,Unknown (check site for stale data),"deprecated=True, One-off maintenance"
pipelines/etl/scripts/build_2026_auction_sheet.py,Build 2026 auction bid sheet using:,D1 + MFL API (see source),D1:auction_2026_bid_sheet,Search site/ for JSON filename,manual,,,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_acquisition_hub_artifacts.py,SELECT 1,D1 + MFL API (see source),None,Search site/ for JSON filename,cron: 15 * * * * (hourly),2026-03-11,2026-03-11,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_adp_auction_value_model.py,Backward-compatible wrapper for renamed script.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,small,See source imports,Unknown (check site for stale data),"deprecated=True, Wrapper for renamed script"
pipelines/etl/scripts/build_adp_consensus.py,Build 2026 ADP consensus from multiple REAL sources.,D1 + MFL API (see source),D1:adp_consensus,Search site/ for JSON filename,manual,,,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_auction_value_model.py,Auction value model — predicts winning bids from ADP + scarcity context.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-25,2026-04-25,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_auction_value_model_v2.py,Build auction value model v2 — era + regime + tier-aware market factors,D1 + MFL API (see source),D1:auction_player_value_model_v2,Search site/ for JSON filename,manual,2026-04-25,2026-04-25,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_champion_panels_json.py,Build champion panel JSON used by the MFL header side rails.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_contract_history_snapshots.py,Build season-by-season contract lineage snapshots.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-21,2026-04-21,large,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_early_projection.py,SELECT,D1 + MFL API (see source),D1:early_projection_adp|D1:early_projection_auction_pool_values|D1:early_projection_contract_rollover|D1:early_projection_summary|D1:early_projection_team_cap|D1:early_projection_topn_summary,Search site/ for JSON filename,manual,2026-03-17,2026-03-17,large,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_early_projection_2026.py,Backward-compatible wrapper for renamed script.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,small,See source imports,Unknown (check site for stale data),"deprecated=True, Wrapper for renamed script"
pipelines/etl/scripts/build_historical_records.py,build_historical_records.py — Generate the UPS Historical Records JSON.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-21,2026-04-21,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_metadata_positionalwinprofile.py,Build metadata_positionalwinprofile,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-21,2026-04-21,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_player_id_crosswalk.py,Build MFL pid ↔ nflverse gsis_id crosswalk.,D1 + MFL API (see source),D1:player_id_crosswalk|pipelines/etl/data/player_id_crosswalk.csv,Search site/ for JSON filename,manual,2026-04-22,2026-04-22,large,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_player_points_history_json.py,Build CCC player points history JSON for multi-season rookie views.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_player_scoring_report.py,Build static JSON artifacts for the Reports Module player scoring report.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-03-09,2026-03-09,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_restructure_submissions_json.py,Build historical restructure submissions JSON for CCC submitted view.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_rookie_draft_hub.py,build_rookie_draft_hub.py — Aggregates data for the Rookie Draft Hub UI.,D1 + MFL API (see source),site/acquisition/rookie_draft_history.json,Search site/ for JSON filename,manual,2026-04-21,2026-04-21,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_roster_acquisition_lookup.py,Build roster acquisition lookup JSON for the roster workbench modal.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-03-10,2026-03-10,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_roster_import_xml.py,Build MFL XML import artifacts from roster roll-forward CSV.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_roster_points_history_json.py,Build compact roster points history JSON for current roster players.,D1 + MFL API (see source),D1:_selected_roster_players,Search site/ for JSON filename,manual,2026-03-27,2026-03-27,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_roster_rollforward_csv.py,Build rolled-forward roster CSV artifacts for target season imports.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-03-07,2026-03-07,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_salary_adjustments_comparison.py,Build row-level derived-vs-MFL comparison artifacts for salary adjustments.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-03-17,2026-03-17,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_salary_adjustments_report.py,Build static JSON artifacts for the Reports Module salary adjustments report.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-16,2026-04-16,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_standings_snapshot.py,Build static standings snapshot JSON for standalone HPM rendering.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-24,2026-02-24,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_stickiness_report.py,Compute year-over-year stickiness for per-position player stats.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-25,2026-04-25,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_tag_submissions_json.py,Build historical tag submissions JSON for CCC finalized submissions view.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/build_tag_tracking.py,Build in-season tag tracking JSON.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-03-09,2026-03-09,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/export_extension_previews_json.py,SELECT,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-17,2026-04-17,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/extension_lineage.py,SELECT,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-03-07,2026-03-07,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/extract_discord_contracts.py,Backward-compatible wrapper for renamed script.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,small,See source imports,Unknown (check site for stale data),"deprecated=True, Wrapper for renamed script"
pipelines/etl/scripts/fetch_coaching_changes.py,"Per-(season, team) head coach + change flags from nflverse schedules.",D1 + MFL API (see source),None,Search site/ for JSON filename,manual,,,large,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/fetch_league_settings.py,Sync historical league IDs + starter configs to D1.,D1 + MFL API (see source),D1:league_years|D1:metadata_starters,Search site/ for JSON filename,manual,2026-04-25,2026-04-25,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/fetch_nflverse_breakaway.py,"Per-(season, gsis_id, role) breakaway-play counts at 15/20/40 yard thresholds.",D1 + MFL API (see source),None,Search site/ for JSON filename,manual,,,large,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/fetch_nflverse_ff_opportunity.py,"Per-(player, season) FPOE = total_fp - total_xfp from nflverse.",D1 + MFL API (see source),None,Search site/ for JSON filename,manual,,,large,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/fetch_nflverse_pbp.py,Parse nflverse PBP into per-player aggregates across 3 domains:,D1 + MFL API (see source),D1:nfl_player_redzone|D1:nfl_team_weekly,Search site/ for JSON filename,manual,2026-04-25,2026-04-25,large,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/fetch_nflverse_pbp_advanced.py,"Per-(player, season, role) and per-(team, season) advanced PBP aggs.",D1 + MFL API (see source),None,Search site/ for JSON filename,manual,,,large,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/fetch_nflverse_weekly.py,Fetch nflverse weekly box score + snap counts into local DB.,D1 + MFL API (see source),D1:nfl_player_snaps|D1:nfl_player_weekly,Search site/ for JSON filename,manual,2026-04-26,2026-04-26,large,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/fetch_pfr_advstats.py,Fetch nflverse PFR weekly advanced rec + rush stats.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-26,2026-04-26,large,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/fetch_pfr_season_advstats.py,Fetch PFR advanced stats at SEASON granularity from nflverse-data releases.,D1 + MFL API (see source),D1:nfl_player_advstats_season,Search site/ for JSON filename,manual,2026-04-25,2026-04-25,large,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/fetch_vegas_team_totals.py,Per-team weekly Vegas implied totals from nflverse schedules.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,,,large,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/ingest_contract_logs_2019_2021.py,"SELECT season, franchise_id, team_name, owner_name, logo",D1 + MFL API (see source),D1:contract_forum_export_v3_all,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/ingest_discord_contracts.py,DELETE FROM contract_forum_export_v3_all,D1 + MFL API (see source),D1:contract_forum_export_v3_all,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/load_2025_mym_into_v3.py,Backward-compatible wrapper for renamed script.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,small,See source imports,Unknown (check site for stale data),"deprecated=True, Wrapper for renamed script"
pipelines/etl/scripts/load_contract_logs_2019_2021.py,Backward-compatible wrapper for renamed script.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,small,See source imports,Unknown (check site for stale data),"deprecated=True, Wrapper for renamed script"
pipelines/etl/scripts/load_mym_submissions_2025.py,"SELECT id, created_at, franchise_id, franchise_name, player_id, player_name, option, tcv, guaranteed, per_year",D1 + MFL API (see source),D1:contract_forum_export_v3_all,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/load_standings_history.py,load_standings_history.py — Aggregate multi-year standings into per-franchise career stats.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-21,2026-04-21,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/log_contract_activity.py,Append a contract activity record into a canonical season log JSON file.,D1 + MFL API (see source),None,Search site/ for JSON filename,on-push (GitHub Action),2026-03-12,2026-03-12,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/log_extension_submission.py,Append an extension submission record into extension_submissions.json.,D1 + MFL API (see source),None,Search site/ for JSON filename,on-push (GitHub Action),2026-03-12,2026-03-12,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/log_mcm_nomination.py,Append an MCM nomination record into mcm_nominations.json.,D1 + MFL API (see source),None,Search site/ for JSON filename,on-push (GitHub Action),2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/log_mcm_vote.py,Append an MCM vote record into mcm_votes.json.,D1 + MFL API (see source),None,Search site/ for JSON filename,on-push (GitHub Action),2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/log_mym_submission.py,Append a MYM submission record into mym_submissions.json.,D1 + MFL API (see source),None,Search site/ for JSON filename,on-push (GitHub Action),2026-03-12,2026-03-12,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/log_restructure_submission.py,Append a restructure submission record into restructure_submissions.json.,D1 + MFL API (see source),None,Search site/ for JSON filename,on-push (GitHub Action),2026-03-12,2026-03-12,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/migrate_contracts_xml_legacy.py,Backward-compatible wrapper for renamed script.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,small,See source imports,Unknown (check site for stale data),"deprecated=True, Wrapper for renamed script"
pipelines/etl/scripts/migrate_legacy_contract_xml.py,"SELECT season, franchise_id, player_id, tcv, option",D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),"deprecated=True, Legacy version"
pipelines/etl/scripts/patch_qb_crosswalk_gaps.py,Patch missing MFL → gsis_id crosswalk rows.,D1 + MFL API (see source),D1:player_id_crosswalk,Search site/ for JSON filename,manual,,,large,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/pick_valuation.py,pick_valuation.py — Empirical rookie-pick valuation for trade grader.,D1 + MFL API (see source),site/trade-value/trade_value_model_2026.json,Search site/ for JSON filename,manual,2026-04-21,2026-04-21,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/refresh_mym_dashboard_from_mfl.py,Refresh mym_dashboard.json directly from MFL export data (no on-prem ETL run).,D1 + MFL API (see source),None,Search site/ for JSON filename,cron: 20 * * * * (hourly),2026-03-07,2026-03-07,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/regression_test_breakaway.py,Phase 4 — does adding rate_20plus improve RB next-year fantasy projection?,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,,,medium,See source imports,Unknown (check site for stale data),"deprecated=True, Test/regression script"
pipelines/etl/scripts/repair_extension_previews_from_current_extensions.py,"SELECT franchise_id, COALESCE(franchise_name, ''), COALESCE(abbrev, '')",D1 + MFL API (see source),D1:extension_previews,Search site/ for JSON filename,manual,2026-03-07,2026-03-07,medium,See source imports,Unknown (check site for stale data),"deprecated=True, One-off maintenance"
pipelines/etl/scripts/repair_mym_dashboard_extension_eligibility.py,Unknown,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-03-07,2026-03-07,small,See source imports,Unknown (check site for stale data),"deprecated=True, One-off maintenance"
pipelines/etl/scripts/repair_rosters_current_rollforward.py,Repair a target-season rosters_current snapshot using rollforward expectations.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-03-07,2026-03-07,medium,See source imports,Unknown (check site for stale data),"deprecated=True, One-off maintenance"
pipelines/etl/scripts/rookie_draft_bridge.py,rookie_draft_bridge.py — Local HTTP server that serves the Rookie Draft Hub,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-21,2026-04-21,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/salary_adjustments_feed.py,Shared helpers for live MFL salaryAdjustments feeds.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-03-17,2026-03-17,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/sync_contract_activity_to_db.py,Sync canonical contract activity JSON logs into SQLite contract_submissions.,D1 + MFL API (see source),D1:contract_submissions,Search site/ for JSON filename,manual,2026-03-12,2026-03-12,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/sync_mfl_roster_membership.py,Sync MFL roster membership through the commissioner load/unload roster page.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-03-07,2026-03-07,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/sync_mym_submissions_from_db.py,Merge MYM submission history from SQLite table `mym_submissions` into mym_submissions.json.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/sync_restructure_submissions_to_db.py,Sync restructure submissions into SQLite.,D1 + MFL API (see source),D1:restructure_submissions,Search site/ for JSON filename,manual,2026-02-16,2026-02-16,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/sync_scoring_rules.py,Parse metadata_rawrules JSON → mfl_scoring_rules in D1.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-25,2026-04-25,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/target_breakaway_picks.py,Actionable breakaway-driven 2026 target/fade list.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,,,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/trace_contract_history.py,Trace a player's full contract lineage:,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-18,2026-04-18,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/trade_grader.py,trade_grader.py — UPS Trade Intelligence Report Generator,D1 + MFL API (see source),site/trade-value/trade_value_model_2026.json,Search site/ for JSON filename,manual,2026-04-21,2026-04-21,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/trade_grader_prompt.py,trade_grader_prompt.py — Claude API prompt templates for trade roast generation.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-21,2026-04-21,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/trade_roast_bot.py,trade_roast_bot.py — UPS Trade Roast Discord Bot.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,2026-04-21,2026-04-21,medium,See source imports,Unknown (check site for stale data),
pipelines/etl/scripts/yoy_signals.py,yoy_signals.py — Multi-year ADP / salary / PPG gatherer and stickiness calculator.,D1 + MFL API (see source),site/rosters/player_points_history.json,Search site/ for JSON filename,manual,2026-04-25,2026-04-25,medium,See source imports,Unknown (check site for stale data),
pipelines/analytics/extension_audit.py,extension_audit.py — Audit the extension_flag column in pipelines/reports/contract_history_*.csv.,D1 + MFL API (see source),site/ccc/extension_submissions.json|site/rookies/_extension_audit_anomalies.csv,Search site/ for JSON filename,manual,,,medium,See source imports,Unknown (check site for stale data),
pipelines/analytics/positional_scarcity.py,positional_scarcity.py — Phase D of the Rookie Draft Hit Rate Analysis.,D1 + MFL API (see source),None,Search site/ for JSON filename,manual,,,medium,See source imports,Unknown (check site for stale data),
pipelines/analytics/rookie_extension_followthrough.py,rookie_extension_followthrough.py — Y4-Y5 follow-through using nflverse PPR data.,D1 + MFL API (see source),pipelines/etl/data_cache_mfl_to_gsis_crosswalk.json|pipelines/etl/data_cache_nflverse_season_totals_2014_2025.csv|site/rookies/rookie_draft_history.json,Search site/ for JSON filename,manual,,,large,See source imports,Unknown (check site for stale data),
pipelines/analytics/rookie_hit_rate_build.py,rookie_hit_rate_build.py — Phases A + B + C of the Rookie Draft Hit Rate Analysis.,D1 + MFL API (see source),site/ccc/mym_submissions.json|site/rookies/_unmatched_rookies.csv|site/rookies/rookie_cohort_outcomes.csv|site/rookies/rookie_draft_history.json|site/rookies/rookie_hit_rate_matrix.json,Search site/ for JSON filename,manual,,,medium,See source imports,Unknown (check site for stale data),
scripts/load_local_to_d1.py,Phase 3 loader — copies MFL source tables from local SQLite to D1.,D1 + MFL API (see source),D1:src_load_manifest,Search site/ for JSON filename,manual,2026-04-25,2026-04-25,large,See source imports,Unknown (check site for stale data),
