artifact_path,promotion_status,source_basis,external_source_path,promotion_date,promoted_by,approved_by,phase_gate_ref,adr_ref,evidence_ref,source_version_hash,notes
V2_GOVERNED/MASTER_PLAN_v7.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Approved planning baseline for UPS_V2 foundation
V2_GOVERNED/governance/agent_registry.csv,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Standing lane definitions
V2_GOVERNED/governance/agent_assignment_view.csv,approved_seed,session_assignments,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,session_snapshot,Live assignment tracking
V2_GOVERNED/governance/agent_operations_runbook.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Agent governance rules and operating controls
V2_GOVERNED/governance/rules_watch_lane_policy.md,approved_seed,governance_hardening,,2026-03-18,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Standing lane policy for continuous live site-settings and export cross-checking
V2_GOVERNED/governance/publish_object_model.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed publish model
V2_GOVERNED/governance/canonical_entity_catalog.md,approved_seed,plan_v7_plus_review,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed entity skeleton
V2_GOVERNED/governance/workflow_state_models.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed workflow lifecycle model
V2_GOVERNED/governance/warning_block_policy_matrix.csv,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed warning and block policy
V2_GOVERNED/governance/phase_boundary_policy.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Phase boundary clarification
V2_GOVERNED/governance/phase_gate_template.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Phase gate template
V2_GOVERNED/governance/phase_completion_report_template.md,approved_seed,implementation_review,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Template for mandatory phase closeout reports
V2_GOVERNED/governance/parity_definition_policy.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed parity standard
V2_GOVERNED/governance/documentation_gate_policy.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed cutover and phase-close documentation rule
V2_GOVERNED/governance/documentation_requirements.md,approved_seed,implementation_review,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Required document set for governance and cutover
V2_GOVERNED/governance/controlled_vocabulary.csv,approved_seed,implementation_review,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Controlled governance vocabulary for statuses and enums
V2_GOVERNED/governance/actor_permission_matrix.csv,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed actor model
V2_GOVERNED/governance/revision_log.md,approved_seed,implementation_review,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed plan and implementation revision history
V2_GOVERNED/governance/rule_interpretation_log.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed rule interpretation history
V2_GOVERNED/governance/schema_change_log.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed schema change history
V2_GOVERNED/governance/artifact_promotion_runbook.md,approved_seed,implementation_review,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Promotion workflow for external V1 inputs
V2_GOVERNED/governance/future_lab_promotion_log.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Deferred experiment promotion history
V2_GOVERNED/governance/GOVERNED_ARTIFACT_REGISTRY.csv,approved_seed,implementation_review,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,registry_v2,Authoritative registry of governed artifacts
V2_GOVERNED/data/SCHEMA_DICTIONARY.md,pending_review,foundation_scaffold,,,user_session,,,,initial_seed,Structural platform target file not yet approved in detail
V2_GOVERNED/data/modeled_history_version_registry.csv,pending_review,foundation_scaffold,,,user_session,,,,initial_seed,Target registry scaffold pending Phase 7 approval
V2_GOVERNED/ux/ux_event_taxonomy.csv,pending_review,ux_lane_seed,,,user_session,,,,initial_seed,Target telemetry contract pending review
V2_GOVERNED/rules/commissioner_directive_register.csv,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed directive capture target
V2_GOVERNED/rules/rules_watch_intake.csv,pending_review,plan_v7_plus_rules_lane,,,user_session,,,,initial_seed,Target intake contract pending review
V2_GOVERNED/future_lab/PROMOTION_RECOMMENDATIONS.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Deferred governance artifact
V2_GOVERNED/future_lab/experiment_log.csv,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Deferred experiment ledger
V2_GOVERNED/governance/dependency_register.csv,approved_promoted,promotion_target,/Users/keithcreelman/Documents/mfl/Codex/V1/reference_inputs/ups_v2/V1_REFERENCE/governance/dependency_register_v1_seed.csv,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,source_hash_not_captured_initially,Reviewed and promoted into governed dependency register
V2_GOVERNED/data/source_of_truth_matrix.csv,approved_promoted,promotion_target,/Users/keithcreelman/Documents/mfl/Codex/V1/reference_inputs/ups_v2/V1_REFERENCE/data/source_of_truth_matrix_v1_seed.csv,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,source_hash_not_captured_initially,Reviewed and promoted into governed source-of-truth matrix
V2_GOVERNED/rules/rule_ambiguity_register.csv,approved_promoted,promotion_target,/Users/keithcreelman/Documents/mfl/Codex/V1/reference_inputs/ups_v2/V1_REFERENCE/rules/rule_ambiguity_register_v1_seed.csv,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,source_hash_not_captured_initially,Reviewed and promoted into governed ambiguity register
V2_GOVERNED/mfl/endpoint_triage_sheet.csv,approved_promoted,promotion_target,/Users/keithcreelman/Documents/mfl/Codex/V1/reference_inputs/ups_v2/V1_REFERENCE/mfl/endpoint_triage_sheet_v1_seed.csv,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,source_hash_not_captured_initially,Reviewed and promoted into governed endpoint target matrix
V2_GOVERNED/mfl/event_window_matrix.csv,approved_promoted,promotion_target,/Users/keithcreelman/Documents/mfl/Codex/V1/reference_inputs/ups_v2/V1_REFERENCE/mfl/event_window_matrix_v1_seed.csv,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,source_hash_not_captured_initially,Reviewed and promoted into governed event window matrix
V2_GOVERNED/inventories/current_surface_inventory.csv,approved_promoted,promotion_target,/Users/keithcreelman/Documents/mfl/Codex/V1/reference_inputs/ups_v2/V1_REFERENCE/inventories/current_surface_inventory_v1_reference.csv,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,source_hash_not_captured_initially,Reviewed and promoted into governed current-to-V2 surface decision map
V2_GOVERNED/inventories/job_inventory.csv,approved_promoted,promotion_target,/Users/keithcreelman/Documents/mfl/Codex/V1/reference_inputs/ups_v2/V1_REFERENCE/inventories/job_inventory_v1_reference.csv,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,source_hash_not_captured_initially,Reviewed and promoted into governed target job inventory
V2_GOVERNED/data/EVIDENCE_CONFIDENCE_POLICY.md,pending_review,promotion_target,/Users/keithcreelman/Documents/mfl/Codex/V1/reference_inputs/ups_v2/V1_REFERENCE/data/evidence_confidence_v1_seed.md,,,user_session,,,,Governed evidence confidence policy placeholder
V2_GOVERNED/data/evidence_registry.csv,pending_review,promotion_target,/Users/keithcreelman/Documents/mfl/Codex/V1/reference_inputs/ups_v2/V1_REFERENCE/data/evidence_registry_v1_reference.csv,,,user_session,,,,Governed evidence registry target awaiting reviewed source rows
V2_GOVERNED/inventories/hardcoded_inventory.csv,approved_promoted,promotion_target,/Users/keithcreelman/Documents/mfl/Codex/V1/reference_inputs/ups_v2/V1_REFERENCE/inventories/hardcoded_register_v1_reference.csv,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,source_hash_not_captured_initially,Governed hardcoded inventory derived from reviewed V1 reference input
V2_GOVERNED/inventories/rules_signal_inventory.csv,approved_promoted,promotion_target,/Users/keithcreelman/Documents/mfl/Codex/V1/reference_inputs/ups_v2/V1_REFERENCE/inventories/rules_signal_sources_v1_reference.csv,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,source_hash_not_captured_initially,Governed rules-signal inventory derived from reviewed V1 reference input
V2_GOVERNED/inventories/audit_gap_register.csv,approved_seed,implementation_review,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Explicit Phase 1 audit gap register for missing external evidence paths
V2_GOVERNED/requirements/target_requirements_matrix.csv,approved_seed,phase_2_kickoff,,2026-03-17,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed target requirements matrix for Phase 2
V2_GOVERNED/requirements/current_to_v2_delta_register.csv,approved_seed,phase_2_kickoff,,2026-03-17,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed delta register from current state to V2 target behavior
V2_GOVERNED/requirements/non_functional_requirements.md,approved_seed,phase_2_kickoff,,2026-03-17,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed non-functional requirements baseline for Phase 2
V2_GOVERNED/governance/phase_reports/phase_1_completion_report.md,approved_seed,phase_1_closeout,,2026-03-17,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Formal Phase 1 completion report
V2_GOVERNED/requirements/workspaces/contract_actions_workspace.md,approved_seed,phase_2_workspace_definition,,2026-03-17,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Detailed Phase 2 workspace definition for contract actions
V2_GOVERNED/requirements/workspaces/team_operations_workspace.md,approved_seed,phase_2_workspace_definition,,2026-03-18,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Detailed Phase 2 workspace definition for team operations
V2_GOVERNED/requirements/workspaces/roster_operations_workspace.md,approved_seed,phase_2_workspace_definition,,2026-03-18,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Detailed Phase 2 workspace definition for roster operations and player-action launching
V2_GOVERNED/requirements/actions/add_action_rule.md,approved_seed,phase_2_action_rule_definition,,2026-03-18,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed action rule for when Add is visible and how acquisition path selection should work
V2_GOVERNED/requirements/actions/drop_action_rule.md,approved_seed,phase_2_action_rule_definition,,2026-03-18,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed action rule for when Drop is visible and how release timing locks should work
V2_GOVERNED/requirements/actions/auction_nomination_rule.md,approved_seed,phase_2_action_rule_definition,,2026-03-18,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed action rule for free-agent auction nomination cadence stop logic supplemental nominations and missed-cycle handling
V2_GOVERNED/governance/site_settings_alignment_policy.md,approved_seed,governance_hardening,,2026-03-18,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed policy for cross-checking UPS_V2 rules against live MFL site settings
V2_GOVERNED/governance/site_settings_alignment_register.csv,approved_seed,governance_hardening,,2026-03-18,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed register of live source-system alignment results and discrepancies
V2_GOVERNED/governance/handoffs/claude_takeover_handoff_2026-03-21.md,approved_seed,implementation_handoff,,2026-03-21,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Comprehensive takeover brief for Claude including directories governance rules agents runtime paths and next actions
V2_GOVERNED/governance/handoffs/claude_player_league_profile_and_repo_inventory_2026-03-21.md,approved_seed,implementation_handoff,,2026-03-21,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Detailed player-perspective UPS league profile plus local and cloud repo inventory for Claude
V2_GOVERNED/governance/handoffs/claude_quickstart_2026-03-21.md,approved_seed,implementation_handoff,,2026-03-21,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Short fast-entry brief for Claude with league facts repo map key governed docs and immediate next actions
V2_GOVERNED/governance/handoffs/claude_rulebook_sections_2_3_cleanup_2026-03-22.md,approved_seed,implementation_handoff,,2026-03-22,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Claude-ready correction sheet for rulebook Sections 2 and 3 with V1 source anchors widget dates and explicit rewrite instructions
V2_GOVERNED/requirements/workspaces/trade_negotiation_workspace.md,approved_seed,phase_2_workspace_definition,,2026-03-18,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,"Detailed Phase 2 workspace definition for trade negotiation, Discord DM response routing, and deferred same-week kickoff handling"
V2_GOVERNED/requirements/actions/trade_offer_action_rule.md,approved_seed,phase_2_action_rule_definition,,2026-03-18,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,"Governed action rule for when Trade is visible, how the trade window works, and how response and deferred processing must behave"
V2_GOVERNED/governance/validation/trade_kickoff_acceptance_validation.md,approved_seed,phase_9_validation_schedule,,2026-03-18,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed validation runbook for the Week 1 2026 test-league kicked-off-player trade acceptance check
V2_GOVERNED/governance/validation/workflow_acceptance_catalog.csv,approved_seed,phase_9_validation_schedule,,2026-03-18,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed catalog of scheduled workflow acceptance and live validation cases
